/dev/CMSSW_8_0_0/GRun/V72																		
																		
		HLT_DoubleMu23NoFiltersNoVtxDisplaced_v2	EXO	1	1	1	1	1	1	1	1	1	1	1		L1_DoubleMu_11_4||L1_DoubleMu_12_5		
		HLT_DoubleMu28NoFiltersNoVtxDisplaced_v2	EXO	1	1	1	1	1	1	1	1	1	1	1		L1_DoubleMu_11_4||L1_DoubleMu_12_5		
		HLT_DoubleMu33NoFiltersNoVtx_v2	EXO	1	1	1	1	1	1	1	1	1	1	1		L1_DoubleMu_11_4||L1_DoubleMu_12_5		
		HLT_DoubleMu38NoFiltersNoVtx_v2	EXO	1	1	1	1	1	1	1	1	1	1	1		L1_DoubleMu_11_4||L1_DoubleMu_12_5		
		HLT_DoubleMu4_3_Bs_v2	BPH	1	1	1	1	1	1	1	1	1	1	1		L1_DoubleMu0er1p6_dEta_Max1p8_OS||L1_DoubleMu_11_4		
		HLT_DoubleMu4_3_Jpsi_Displaced_v2	BPH	5	5	2	1	1	1	1	1	1	1	1		L1_DoubleMu0er1p6_dEta_Max1p8_OS||L1_DoubleMu_11_4		
		HLT_DoubleMu4_JpsiTrk_Displaced_v2	BPH	1	1	1	1	1	1	1	1	1	1	1		L1_DoubleMu0er1p6_dEta_Max1p8_OS||L1_DoubleMu_11_4		
		HLT_DoubleMu4_LowMassNonResonantTrk_Displaced_v2	BPH	1	1	1	1	1	1	1	1	1	1	1		L1_DoubleMu0er1p6_dEta_Max1p8_OS||L1_DoubleMu_11_4		
		HLT_DoubleMu4_PsiPrimeTrk_Displaced_v2	BPH	1	1	1	1	1	1	1	1	1	1	1		L1_DoubleMu0er1p6_dEta_Max1p8_OS||L1_DoubleMu_11_4		
		HLT_DoubleMu8_Mass8_PFHT250_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_Mu8_HTT150||L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_DoubleMu8_Mass8_PFHT300_v4	null	1	1	1	1	1	1	1	1	1	1	1		L1_Mu8_HTT150||L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_DoublePhoton60_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40||L1_SingleJet200||L1_DoubleEG_18_17||L1_DoubleEG_22_12		
		HLT_DoublePhoton85_v2	EXO	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40||L1_SingleJet200||L1_DoubleEG_18_17||L1_DoubleEG_22_12		
		HLT_ECALHT800_v2	null	1	1	1	1	1	1	1	1	1	1	1		L1_HTT300||L1_ETM70		
		HLT_Ele105_CaloIdVT_GsfTrkIdT_v3	EXO	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40||L1_SingleJet200		
		HLT_Ele10_CaloIdM_TrackIdM_CentralPFJet30_BTagCSV_p13_v1	null	5	5	2	1	1	1	1	1	1	1	1		L1_Jet32_MuOpen_EG10_dPhi_Jet_Mu_Max0p4_dPhi_Mu_EG_Min1p0		
		HLT_Ele115_CaloIdVT_GsfTrkIdT_v2	EXO	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40||L1_SingleJet200		
		HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30_v3	null	1	1	1	1	150	150	150	200	150	100	65		L1_SingleEG10||L1_SingleEG15		
		HLT_Ele12_CaloIdL_TrackIdL_IsoVL_v3	HIG	1	1	1	1	125	125	125	175	125	50	25		L1_SingleEG10||L1_SingleEG15		
		HLT_Ele12_CaloIdM_TrackIdM_PFJet30_v3	null	1	1	1	1	300	300	300	400	300	200	130		L1_SingleEG10||L1_SingleEG15		
		HLT_Ele15_IsoVVVL_BTagCSV_p067_PFHT400_v1	null	10	10	5	3	2	1	1	1	1	1	1		(L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320)	AND	(L1_SingleEG5)
		HLT_Ele15_IsoVVVL_PFHT350_PFMET50_v2	null	1	1	1	1	1	1	1	1	1	1	1		(L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320)	AND	(L1_SingleEG5)
		HLT_Ele15_IsoVVVL_PFHT350_v2	null	10	10	1	1	1	1	1	1	1	1	1		(L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320)	AND	(L1_SingleEG5)
		HLT_Ele15_IsoVVVL_PFHT600_v3	null	1	1	1	1	1	1	1	1	1	1	1		(L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320)	AND	(L1_SingleEG5)
		HLT_Ele16_Ele12_Ele8_CaloIdL_TrackIdL_v3	HIG	1	1	1	1	1	1	1	1	1	1	1		L1_TripleEG_14_10_8		
		HLT_Ele17_CaloIdL_GsfTrkIdVL_v1	null	1	1	1	1	11	11	11	15	11	8	5		L1_SingleEG15		
		HLT_Ele17_CaloIdL_TrackIdL_IsoVL_PFJet30_v1	null	1	1	1	1	11	11	11	15	11	8	5		L1_SingleEG15		
		HLT_Ele17_CaloIdL_TrackIdL_IsoVL_v2	HIG	1	1	1	1	11	11	11	15	11	8	5		L1_SingleEG15		
		HLT_Ele17_CaloIdM_TrackIdM_PFJet30_v1	null	1	1	1	1	11	11	11	15	11	8	5		L1_SingleEG15		
		HLT_Ele17_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v3	HIG	0	0	1	1	1	1	1	1	1	1	1		L1_SingleEG40||	L1_SingleIsoEG24er||L1_SingleIsoEG26||L1_SingleIsoEG24||L1_SingleIsoEG22er||L1_DoubleEG_22_12||L1_DoubleEG_18_17||L1_DoubleEG_15_10	
		HLT_Ele17_Ele12_CaloIdL_TrackIdL_IsoVL_v3	HIG	0	0	10	7	5	2	1	1	1	1	1		L1_SingleEG40||	L1_SingleIsoEG24er||L1_SingleIsoEG26||L1_SingleIsoEG24||L1_SingleIsoEG22er||L1_DoubleEG_22_12||L1_DoubleEG_18_17||L1_DoubleEG_15_10	
		HLT_Ele22_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_SingleL1_v2	TAU,HIG	1	1	1	1	1	1	1	1	1	1	1		L1_SingleIsoEG20er||L1_SingleIsoEG22er||L1_SingleEG40		
		HLT_Ele22_eta2p1_WPLoose_Gsf_v3	TAU,HIG	1	1	1	1	1	1	1	1	1	1	1		L1_SingleIsoEG20er||L1_SingleIsoEG22er||L1_SingleEG40		
		HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30_v3	null	1	1	1	1600	1100	650	325	250	180	125	75		L1_SingleEG15		
		HLT_Ele23_CaloIdL_TrackIdL_IsoVL_v3	HIG	0	0	0	0	700	400	200	140	100	70	40		L1_SingleEG18||L1_SingleEG24		
		HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v3	null	1	1	1	650	530	300	150	120	80	60	32		L1_SingleEG15		
		HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v3	HIG	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24||L1_DoubleEG_22_12||L1_DoubleEG_18_17		
		HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_v3	HIG	10	10	5	3	2	1	1	1	1	1	1		L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24||L1_DoubleEG_22_12||L1_DoubleEG_18_17		
		HLT_Ele23_WPLoose_Gsf_WHbbBoost_v2	null	0	0	0	0	1	1	1	1	1	1	1		L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG24||L1_SingleIsoEG26		
		HLT_Ele23_WPLoose_Gsf_v3	null	0	0	1	1	1	1	1	1	1	1	1		L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG24||L1_SingleIsoEG26		
		HLT_Ele24_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_SingleL1_v1	TAU,HIG	1	1	1	1	1	1	1	1	1	1	1		L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleEG40		
		HLT_Ele24_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_v1	TAU,HIG	1	1	1	1	1	1	1	1	1	1	1		L1_IsoEG22er_Tau20er_dEta_Min0p2		
		HLT_Ele24_eta2p1_WPLoose_Gsf_v1	TAU,HIG	1	1	1	1	1	1	1	1	1	1	1		L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleEG40		
		HLT_Ele25_WPTight_Gsf_v1	EGM	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG24||L1_SingleIsoEG26		
		HLT_Ele25_eta2p1_WPLoose_Gsf_v1	EGM	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er		
		HLT_Ele25_eta2p1_WPTight_Gsf_v1	EGM	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er		
		HLT_Ele27_HighEta_Ele20_Mass55_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_18_17||L1_DoubleEG_24_17		
		HLT_Ele27_WPLoose_Gsf_WHbbBoost_v2	null	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG24||L1_SingleIsoEG26		
		HLT_Ele27_WPLoose_Gsf_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG24||L1_SingleIsoEG26		
		HLT_Ele27_WPTight_Gsf_v1	EGM	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG24||L1_SingleIsoEG26		
		HLT_Ele27_eta2p1_WPLoose_Gsf_DoubleMediumIsoPFTau32_Trk1_eta2p1_Reg_v1	TAU,HIG,EXO	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er		
		HLT_Ele27_eta2p1_WPLoose_Gsf_DoubleMediumIsoPFTau35_Trk1_eta2p1_Reg_v2	TAU,HIG,EXO	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er		
		HLT_Ele27_eta2p1_WPLoose_Gsf_DoubleMediumIsoPFTau40_Trk1_eta2p1_Reg_v3	TAU,HIG,EXO	0	0	1	1	1	1	1	1	1	1	1		L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er		
		HLT_Ele27_eta2p1_WPLoose_Gsf_HT200_v2	ttH	1	1	1	1	1	1	1	1	1	1	1		L1_EG27er_HTT200||L1_HTT280||L1_HTT300		
		HLT_Ele27_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_SingleL1_v1	TAU,HIG	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er		
		HLT_Ele27_eta2p1_WPLoose_Gsf_v2	EGM	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er		
		HLT_Ele27_eta2p1_WPTight_Gsf_v2	null	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er		
		HLT_Ele30WP60_Ele8_Mass55_v2	EGM	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40||L1_SingleIsoEG24||L1_SingleIsoEG22er		
		HLT_Ele30WP60_SC4_Mass55_v3	HIG	2	2	2	1	1	1	1	1	1	1	1		L1_SingleEG40||L1_SingleIsoEG24||L1_SingleIsoEG22er		
		HLT_Ele32_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_SingleL1_v1	TAU,HIG	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er		
		HLT_Ele32_eta2p1_WPTight_Gsf_v2	null	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er		
		HLT_Ele35_CaloIdVT_GsfTrkIdT_PFJet150_PFJet50_v1	B2G	0	0	1	1	1	1	1	1	1	1	1		L1_SingleEG26		
		HLT_Ele35_WPLoose_Gsf_v1	EGM	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG24||L1_SingleIsoEG26		
		HLT_Ele45_CaloIdVT_GsfTrkIdT_PFJet200_PFJet50_v3	B2G	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40		
		HLT_Ele45_WPLoose_Gsf_v1	EGM	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG24||L1_SingleIsoEG26		
		HLT_Ele50_CaloIdVT_GsfTrkIdT_PFJet140_v1	B2G	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40		
		HLT_Ele50_CaloIdVT_GsfTrkIdT_PFJet165_v1	B2G	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40		
		HLT_Ele8_CaloIdL_TrackIdL_IsoVL_PFJet30_v1	null	1	1	1	1	1	1	1	8	8	8	8		L1_SingleEG10||L1_SingleEG5		
		HLT_Ele8_CaloIdM_TrackIdM_PFJet30_v3	null	1	1	1	1	1	1	1	8	8	8	8		L1_SingleEG10||L1_SingleEG5		
		HLT_FullTracks_Multiplicity100_v1	FSQ,HIN	0	0	0	0	0	0	0	0	0	0	0		L1_AlwaysTrue		
		HLT_FullTracks_Multiplicity130_v1	FSQ,HIN	0	0	0	0	0	0	0	0	0	0	0		L1_AlwaysTrue		
		HLT_FullTracks_Multiplicity150_v1	FSQ,HIN	0	0	0	0	0	0	0	0	0	0	0		L1_AlwaysTrue		
		HLT_FullTracks_Multiplicity80_v1	FSQ,HIN	0	0	0	0	0	0	0	0	0	0	0		L1_ZeroBias		
		HLT_GlobalRunHPDNoise_v3	null	3500	3500	3500	3500	3500	3500	3500	3500	3500	3500	3500		L1_SingleJetC20_NotBptxOR		
		HLT_HISinglePhoton10_v2	null	0	0	0	0	0	0	0	0	0	0	0		L1_SingleEG2_BptxAND		
		HLT_HISinglePhoton15_v2	null	0	0	0	0	0	0	0	0	0	0	0		L1_SingleEG2_BptxAND		
		HLT_HISinglePhoton20_v2	null	0	0	0	0	0	0	0	0	0	0	0		L1_SingleEG2_BptxAND		
		HLT_HISinglePhoton40_v2	null	0	0	0	0	0	0	0	0	0	0	0		L1_SingleEG5		
		HLT_HISinglePhoton60_v2	null	0	0	0	0	0	0	0	0	0	0	0		L1_SingleEG5		
		HLT_HT2000_v1	PPD	1	1	1	1	1	1	1	1	1	1	1		L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_HT200_DisplacedDijet40_DisplacedTrack_v1	EXO	20	20	20	20	20	20	20	20	20	20	20		L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_HT200_v1	null	20000	20000	10000	7100	5000	2800	1400	1000	710	500	280		L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_HT2500_v1	PPD	1	1	1	1	1	1	1	1	1	1	1		L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_HT250_DisplacedDijet40_DisplacedTrack_v2	EXO	1	1	1	1	1	1	1	1	1	1	1		L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_HT275_v1	null	8000	8000	4000	2800	2000	1100	570	400	280	200	110		L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_HT325_v1	null	4000	4000	2000	1400	1000	570	280	200	140	100	60		L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_HT350_DisplacedDijet40_DisplacedTrack_v2	EXO	0	1	1	1	1	1	1	1	1	1	1		L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_HT350_DisplacedDijet40_Inclusive_v1	EXO	45	45	45	45	45	45	45	45	45	45	45		L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_HT350_DisplacedDijet80_DisplacedTrack_v2	EXO	1	1	1	1	1	1	1	1	1	1	1		L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_HT350_DisplacedDijet80_Tight_DisplacedTrack_v2	EXO	1	1	1	1	1	1	1	1	1	1	1		L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_HT400_DisplacedDijet40_Inclusive_v2	EXO	1	1	1	1	1	1	1	1	1	1	1		L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_HT410to430_v1	EXO	1	1	1	1	1	1	1	1	1	1	1		L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_HT425_v1	null	1500	1500	750	530	370	210	100	75	50	36	20		L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_HT430to450_v1	EXO	1	1	1	1	1	1	1	1	1	1	1		L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_HT450to470_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_HT470to500_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_HT500_DisplacedDijet40_Inclusive_v2	EXO	0	1	1	1	1	1	1	1	1	1	1		L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_HT500to550_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_HT550_DisplacedDijet40_Inclusive_v2	EXO	0	0	1	1	1	1	1	1	1	1	1		L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_HT550to650_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_HT575_v1	null	500	500	250	170	120	70	35	25	20	12	10		L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_HT650_DisplacedDijet80_Inclusive_v2	EXO	1	1	1	1	1	1	1	1	1	1	1		L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_HT650_v2	null	1	1	1	1	1	1	1	1	1	1	1		L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_HT750_DisplacedDijet80_Inclusive_v2	EXO	1	1	1	1	1	1	1	1	1	1	1		L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_HcalNZS_v2	null	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG5||L1_SingleEG24||L1_SingleJet35||L1_SingleJet60||L1_SingleMuOpen||L1_ZeroBias		
		HLT_HcalPhiSym_v2	null	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG5||L1_SingleEG24||L1_SingleMuOpen		
		HLT_HcalUTCA_v2	null	1	(none)													
		HLT_IsoMu16_eta2p1_MET30_LooseIsoPFTau50_Trk30_eta2p1_v1	HIG	1	1	1	1	1	1	1	1	1	1	1		L1_Mu10er_ETM30||L1_Mu14er_ETM30		
		HLT_IsoMu16_eta2p1_MET30_v1	HIG,TAU	1	1	1	1	1	1	1	1	1	1	1		L1_Mu10er_ETM30||L1_Mu14er_ETM30		
		HLT_IsoMu17_eta2p1_LooseIsoPFTau20_SingleL1_v4	TAU,HIG	1	1	1	1	1	1	1	1	1	1	1		L1_SingleMu16er		
		HLT_IsoMu17_eta2p1_LooseIsoPFTau20_v4	TAU,HIG	1	1	1	1	1	1	1	1	1	1	1		L1_Mu16er_Tau20er		
		HLT_IsoMu18_v2	null	0	0	1	1	1	1	1	1	1	1	1		L1_SingleMu16		
		HLT_IsoMu19_eta2p1_LooseIsoPFTau20_SingleL1_v1	TAU,HIG	1	1	1	1	1	1	1	1	1	1	1		L1_SingleMu18er||L1_SingleMu20er		
		HLT_IsoMu19_eta2p1_LooseIsoPFTau20_v1	TAU,HIG	1	1	1	1	1	1	1	1	1	1	1		L1_Mu18er_Tau20er		
		HLT_IsoMu19_eta2p1_MediumIsoPFTau32_Trk1_eta2p1_Reg_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_Mu18er_IsoTau26er||L1_Mu20er_IsoTau26er		
		HLT_IsoMu20_v3	SMP	0	0	1	1	1	1	1	1	1	1	1		L1_SingleMu18		
		HLT_IsoMu21_eta2p1_LooseIsoPFTau20_SingleL1_v1	TAU,HIG	1	1	1	1	1	1	1	1	1	1	1		L1_SingleMu20er||L1_SingleMu22er		
		HLT_IsoMu21_eta2p1_MediumIsoPFTau32_Trk1_eta2p1_Reg_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_Mu18er_IsoTau26er||L1_Mu20er_IsoTau26er		
		HLT_IsoMu22_v2	null	1	1	1	1	1	1	1	1	1	1	1		L1_SingleMu20		
		HLT_IsoMu24_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_SingleMu22		
		HLT_IsoMu27_v3	SMP	1	1	1	1	1	1	1	1	1	1	1		L1_SingleMu22||L1_SingleMu25		
		HLT_IsoTkMu18_v2	SMP	0	0	1	1	1	1	1	1	1	1	1		L1_SingleMu16		
		HLT_IsoTkMu20_v4	SMP	0	0	1	1	1	1	1	1	1	1	1		L1_SingleMu18		
		HLT_IsoTkMu22_v2	SMP	1	1	1	1	1	1	1	1	1	1	1		L1_SingleMu20		
		HLT_IsoTkMu24_v1	SMP	1	1	1	1	1	1	1	1	1	1	1		L1_SingleMu22		
		HLT_IsoTkMu27_v3	SMP	1	1	1	1	1	1	1	1	1	1	1		L1_SingleMu22||L1_SingleMu25		
		HLT_IsoTrackHB_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_SingleJet60		
		HLT_IsoTrackHE_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_SingleJet60		
		HLT_JetE30_NoBPTX3BX_v1	EXO	1	1	1	1	1	1	1	1	1	1	1		L1_SingleJetC20_NotBptxOR_3BX		
		HLT_JetE30_NoBPTX_v2	EXO	160	160	60	42	30	17	8	6	4	3	1		L1_SingleJetC20_NotBptxOR		
		HLT_JetE50_NoBPTX3BX_v1	EXO	1	1	1	1	1	1	1	1	1	1	1		L1_SingleJetC32_NotBptxOR_3BX||L1_SingleJetC36_NotBptxOR_3BX		
		HLT_JetE70_NoBPTX3BX_v1	EXO	1	1	1	1	1	1	1	1	1	1	1		L1_SingleJetC32_NotBptxOR_3BX||L1_SingleJetC36_NotBptxOR_3BX		
		HLT_L1MinimumBiasHF_AND_v1	null	0	0	0	0	0	0	0	0	0	0	0		L1_AlwaysTrue		
		HLT_L1MinimumBiasHF_OR_v1	null	0	0	0	0	0	0	0	0	0	0	0		L1_AlwaysTrue		
		HLT_L1SingleMu16_v1	null	80000	80000	40000	5000	3500	2000	1000	700	500	350	200		L1_SingleMu16		
		HLT_L1SingleMuOpen_DT_v2	null	0	0	0	0	0	0	0	0	0	0	0		L1_SingleMuOpen		
		HLT_L1SingleMuOpen_v2	null	0	0	0	0	0	0	0	0	0	0	0		L1_SingleMuOpen		
		HLT_L1Tech_DT_GlobalOR_v2	null	0	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000		L1_ZeroBias		
		HLT_L1_TripleJet_VBF_v4	null	10000	10000	5000	3600	2400	1400	680	500	360	240	140		L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF||L1_HTT280||L1_HTT300||L1_HTT320||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120		
		HLT_L2DoubleMu23_NoVertex_v2	EXO	200	200	100	70	50	28	12	10	6	5	2		L1_DoubleMu_11_4||L1_DoubleMu_12_5		
		HLT_L2DoubleMu28_NoVertex_2Cha_Angle2p5_Mass10_v2	EXO	1	1	1	1	1	1	1	1	1	1	1		L1_DoubleMu_11_4||L1_DoubleMu_12_5		
		HLT_L2DoubleMu38_NoVertex_2Cha_Angle2p5_Mass10_v2	EXO	1	1	1	1	1	1	1	1	1	1	1		L1_DoubleMu_11_4||L1_DoubleMu_12_5		
		HLT_L2Mu10_NoVertex_NoBPTX3BX_v1	EXO	100	100	100	70	50	30	15	10	7	5	2		L1_SingleMuOpen_NotBptxOR_3BX		
		HLT_L2Mu10_NoVertex_NoBPTX_v2	EXO	100	100	100	70	50	30	15	10	7	5	2		L1_SingleMuOpen_NotBptxOR		
		HLT_L2Mu10_v1	null	20000	20000	10000	500	350	200	100	70	50	35	20		L1_SingleMu22		
		HLT_L2Mu35_NoVertex_3Sta_NoBPTX3BX_v1	EXO	1	1	1	1	1	1	1	1	1	1	1		L1_SingleMuOpen_NotBptxOR_3BX		
		HLT_L2Mu40_NoVertex_3Sta_NoBPTX3BX_v1	EXO	1	1	1	1	1	1	1	1	1	1	1		L1_SingleMuOpen_NotBptxOR_3BX		
		HLT_LooseIsoPFTau50_Trk30_eta2p1_MET110_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_ETM80||L1_ETM90||L1_ETM100		
		HLT_LooseIsoPFTau50_Trk30_eta2p1_MET120_v1	HIG	1	1	1	1	1	1	1	1	1	1	1		L1_ETM80||L1_ETM90||L1_ETM100		
		HLT_LooseIsoPFTau50_Trk30_eta2p1_MET80_v1	TAU,HIG	0	0	1	1	1	1	1	1	1	1	1		L1_ETM50||L1_ETM60||L1_ETM70		
		HLT_LooseIsoPFTau50_Trk30_eta2p1_MET90_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_ETM80||L1_ETM90||L1_ETM100		
